name,adpe,pe,gwp
WOR,0.0000000737708,9.988,0.590478
EEE,0.0000000642317,12.873,0.509427
ZWE,0.000000109502,16.122,0.842811
ZMB,0.000000162193,1.798,0.0141304
ZAF,0.0000000862445,11.732,1.17562
YEM,0.0000000163908,16.250,1.06777
VNM,0.0000000945573,11.238,0.555572
VEN,0.000000112811,15.163,0.497373
UZB,0.000000103681,17.367,0.81178
URY,0.000000104586,107.570,0.296953
USA,0.0000000985548,11.358,0.67978
UKR,0.0000000647907,12.936,0.646745
TZA,0.000000132261,9.305,0.475635
TWN,0.0000000578088,11.439,0.845351
TTO,0.000000064552,14.289,0.933059
TUR,0.0000000749765,16.150,0.706988
TUN,0.0000000177021,12.902,0.80722
TKM,0.000000131822,23.300,1.38296
TJK,0.000000152621,19.165,0.0426743
THA,0.0000000569593,10.414,0.646174
TGO,0.000000134255,21.978,0.545455
SYR,0.0000000268396,16.989,1.08778
SLV,0.0000000472135,13.012,0.473128
SEN,0.0000000470662,14.516,1.1195
SVK,0.0000000606109,11.680,0.309341
SVN,0.0000000992283,12.146,0.498523
SGP,0.0000000198459,10.477,0.655825
SWE,0.0000000777062,11.026,0.0464664
SDN,0.0000000955701,29.629,1.12472
SAU,0.0000000134206,14.058,0.913677
RUS,0.0000000960312,13.200,0.66131
SCG,0.000000132772,14.242,1.07808
ROU,0.0000000981761,15.585,0.664245
QAT,0.00000001324,11.916,0.722125
PRY,0.000000149181,0.020,0.241601
PRT,0.0000000341863,14.153,0.571172
POL,0.000000101946,13.178,1.15075
PAK,0.0000000842952,16.175,0.748727
PHL,0.0000000595304,11.120,0.761317
PER,0.0000000952688,8.211,0.284364
PAN,0.0000000790553,16.364,0.53403
OMN,0.0000000374073,22.306,1.41292
NZL,0.0000000720474,24.731,0.293397
NPL,0.000000238273,0.396,0.0841323
NOR,0.000000127486,4.952,0.023754
NLD,0.0000000329318,8.511,0.544803
NIC,0.0000000414983,24.696,0.941626
NGA,0.0000000621,11.279,0.693123
NAM,0.000000128285,468.150,0.357253
MOZ,0.000000148382,0.206,0.00880732
MYS,0.000000044938,12.268,0.832206
MEX,0.0000000578358,11.775,0.739214
MLT,0.000000049475,19.374,1.31149
MNG,0.000000176361,15.114,1.47192
MMR,0.000000152699,14.132,0.48193
MKD,0.000000119873,19.120,1.24074
MDA,0.000000110674,18.429,1.04213
MAR,0.0000000641089,11.702,0.933694
LBY,0.0000000206592,19.116,1.35361
LVA,0.000000153757,8.249,0.234273
LUX,0.000000105692,10.128,0.490016
LTU,0.0000000294596,21.043,0.154229
LKA,0.0000000986932,12.116,0.709185
LBN,0.0000000182134,12.341,0.883627
KAZ,0.000000135386,13.260,1.128
KWT,0.0000000141168,12.753,0.885084
KOR,0.0000000518017,10.199,0.599585
PRK,0.000000117457,32.793,0.797361
KHM,0.0000000319202,34.655,1.41054
KGZ,0.000000181827,15.380,0.156039
KEN,0.0000000958533,68.996,0.589603
JPN,0.0000000596578,10.718,0.540891
JOR,0.0000000147031,13.677,0.781372
JAM,0.0000000196047,14.799,1.07345
ITA,0.00000005439,12.656,0.621329
ISL,0.0000000781905,0.013,0.0194609
IRN,0.0000000220304,15.022,0.930385
IRQ,0.0000000404306,20.372,1.48728
IND,0.000000100099,20.363,1.58299
ISR,0.0000000610194,10.023,0.901842
IRL,0.0000000219257,10.706,0.648118
IDN,0.0000000610451,11.603,0.875394
HUN,0.0000000644587,11.784,0.541558
HTI,0.0000000937057,20.167,1.3858
HRV,0.000000153989,18.548,0.535759
HND,0.0000000649373,15.762,0.692837
GTM,0.0000000803251,14.340,0.645801
GRC,0.0000000691645,14.487,1.13127
GHA,0.000000156003,10.097,0.540126
GEO,0.000000137999,10.425,0.132046
GBR,0.0000000370973,13.579,0.602137
GAB,0.000000113843,28.341,0.732511
FRA,0.0000000485798,11.289,0.0813225
FIN,0.0000000805114,11.275,0.322068
ETH,0.000000174161,36.133,0.251299
ESP,0.0000000518326,12.090,0.467803
ERI,0.0000000512406,13.289,1.13153
EGY,0.000000033925,10.195,0.587775
EST,0.0000000990171,16.334,1.51492
ECU,0.000000127168,20.908,0.627714
DZA,0.0000000216438,16.376,1.02318
DOM,0.0000000429285,12.412,0.909252
DNK,0.0000000157411,16.824,0.633534
DEU,0.0000000878733,16.260,0.657374
CZE,0.0000000817565,12.517,0.799077
CYP,0.0000000448771,13.118,0.978041
CUB,0.0000000299542,17.317,1.28325
CRI,0.0000000863908,45.996,0.224471
COL,0.000000122031,7.312,0.214014
CHN,0.0000000851552,14.119,1.05738
CMR,0.000000146313,10.807,0.456622
CHL,0.000000105851,11.348,0.574415
CIV,0.0000000949004,14.783,0.928583
CHE,0.000000100467,11.782,0.0448568
COG,0.000000265575,34.147,0.904053
COD,0.000000174647,0.097,0.0613102
CAN,0.0000000993179,11.987,0.238191
BLR,0.0000000840478,13.194,0.795697
BWA,0.0000000866014,19.642,2.12572
BRA,0.00000010962,9.031,0.278647
BOL,0.0000000969793,11.587,0.585131
BRN,0.0000000185641,15.689,0.997577
BEN,0.0000000239702,14.337,1.19128
BHR,0.0000000135014,14.036,0.804567
BGR,0.0000000823611,14.375,0.827087
BEL,0.0000000337201,10.776,0.256537
BGD,0.0000000394158,12.935,0.795168
BIH,0.000000148007,21.705,1.56025
AZE,0.000000092567,12.831,0.726126
AUS,0.0000000790846,16.908,1.12326
AUT,0.000000141124,11.036,0.245573
ARG,0.0000000768612,10.049,0.476811
AGO,0.000000124074,16.972,0.412014
ARM,0.0000000854245,13.380,0.252002
ALB,0.000000229556,0.201,0.0207635
ARE,0.0000000141548,19.032,1.09088